l.p,WOJEWÓDZTWO,I KWARTAŁ,II KWARTAŁ,III KWARTAŁ,IV KWARTAŁ,ROK
1,DOLNOŚLĄSKIE,77661,,,,77661
2,KUJAWSKO-POMORSKIE,46438,,,,46438
3,LUBELSKIE,54386,,,,54386
4,LUBUSKIE,24061,,,,24061
5,ŁÓDZKIE,55648,,,,55648
6,MAŁOPOLSKIE,84114,,,,84114
7,MAZOWIECKIE,150715,,,,150715
8,OPOLSKIE,22252,,,,22252
9,PODKARPACKIE,54668,,,,54668
10,PODLASKIE,27208,,,,27208
11,POMORSKIE,63183,,,,63183
12,ŚLĄSKIE,112306,,,,112306
13,ŚWIĘTOKRZYSKIE,27563,,,,27563
14,WARMIŃSKO-MAZURSKIE,33364,,,,33364
15,WIELKOPOLSKIE,79954,,,,79954
16,ZACHODNIOPOMORSKIE,40666,,,,40666
